ID;Names;@mail;department
1;Rex	;feweqf@mail.ru	;cod
2;Igor	;feweqf@mail.ru	;work
3;Lex	;ewrt@mail.ru	;test
4;Lex	;fef@mail.ru	;sail
5;Rex	;qwerf@mail.ru	;test
6;Rex	;fef@mail.ru	;sail
7;Igor	;trtf@mail.ru	;work
8;Igor	;qwerf@mail.ru	;cod
9;Igor	;ewrt@mail.ru	;mod
10;Rex	;qwerf@mail.ru	;mod
11;Lex	;fef@mail.ru	;cod
12;Lex	;rty@mail.ru	;sail
13;Rex	;ewrt@mail.ru	;test
14;Rex	;qwerf@mail.ru	;kill
15;Kate	;ewrt@mail.ru	;work
16;Rex	;fef@mail.ru	;sail
17;Rex	;feweqf@mail.ru	;kill
18;Rex	;rty@mail.ru	;sail
19;Kate	;fef@mail.ru	;mod
20;Max	;rty@mail.ru	;sail
21;Rex	;ewrt@mail.ru	;mod
22;Lex	;ewrt@mail.ru	;work
23;Igor	;ewrt@mail.ru	;cod
24;Kate	;rty@mail.ru	;test
25;Rex	;rty@mail.ru	;cod
26;Lex	;trtf@mail.ru	;work
27;Rex	;qwerf@mail.ru	;test
28;Rex	;fef@mail.ru	;cod
29;Rex	;qwerf@mail.ru	;test
30;Lex	;qwerf@mail.ru	;cod
31;Max	;feweqf@mail.ru	;sail
32;Igor	;trtf@mail.ru	;sail
33;Lora	;feweqf@mail.ru	;test
34;Max	;qwerf@mail.ru	;cod
35;Lora	;ewrt@mail.ru	;cod
36;Igor	;trtf@mail.ru	;test
37;Lora	;trtf@mail.ru	;test
38;Kate	;qwerf@mail.ru	;mod
39;Rex	;fef@mail.ru	;sail
40;Max	;feweqf@mail.ru	;cod
41;Lora	;qwerf@mail.ru	;mod
42;Lora	;rty@mail.ru	;mod
43;Igor	;feweqf@mail.ru	;sail
44;Lex	;feweqf@mail.ru	;work
45;Kate	;qwerf@mail.ru	;cod
46;Lex	;fef@mail.ru	;kill
47;Igor	;rty@mail.ru	;work
48;Rex	;rty@mail.ru	;cod
49;Kate	;ewrt@mail.ru	;cod
50;Igor	;feweqf@mail.ru	;sail
51;Kate	;qwerf@mail.ru	;kill
52;Max	;feweqf@mail.ru	;mod
53;Rex	;feweqf@mail.ru	;sail
54;Kate	;ewrt@mail.ru	;test
55;Lora	;ewrt@mail.ru	;test
56;Igor	;trtf@mail.ru	;sail
57;Igor	;fef@mail.ru	;kill
58;Rex	;rty@mail.ru	;sail
59;Igor	;fef@mail.ru	;work
60;Max	;fef@mail.ru	;sail
61;Kate	;rty@mail.ru	;kill
62;Max	;fef@mail.ru	;work
63;Kate	;trtf@mail.ru	;cod
64;Lora	;fef@mail.ru	;kill
65;Rex	;feweqf@mail.ru	;work
66;Lora	;qwerf@mail.ru	;mod
67;Lora	;qwerf@mail.ru	;sail
68;Max	;fef@mail.ru	;sail
69;Igor	;qwerf@mail.ru	;test
70;Max	;trtf@mail.ru	;cod
71;Kate	;qwerf@mail.ru	;work
72;Max	;rty@mail.ru	;kill
73;Lex	;fef@mail.ru	;sail
74;Max	;fef@mail.ru	;test
75;Lex	;trtf@mail.ru	;work
76;Lora	;feweqf@mail.ru	;work
77;Kate	;qwerf@mail.ru	;sail
78;Max	;trtf@mail.ru	;test
79;Max	;trtf@mail.ru	;sail
80;Lex	;rty@mail.ru	;kill
81;Igor	;ewrt@mail.ru	;kill
82;Lex	;ewrt@mail.ru	;test
83;Max	;ewrt@mail.ru	;kill
84;Rex	;qwerf@mail.ru	;cod
85;Lora	;rty@mail.ru	;kill
86;Kate	;ewrt@mail.ru	;test
87;Max	;feweqf@mail.ru	;kill
88;Kate	;rty@mail.ru	;kill
89;Max	;fef@mail.ru	;sail
90;Max	;ewrt@mail.ru	;cod
91;Lora	;trtf@mail.ru	;work
92;Lex	;qwerf@mail.ru	;kill
93;Lora	;fef@mail.ru	;cod
94;Max	;rty@mail.ru	;test
95;Rex	;ewrt@mail.ru	;kill
96;Kate	;fef@mail.ru	;cod
97;Rex	;rty@mail.ru	;mod
98;Rex	;rty@mail.ru	;test
99;Kate	;feweqf@mail.ru	;cod
100;Kate	;trtf@mail.ru	;cod
101;Igor	;feweqf@mail.ru	;mod
102;Rex	;fef@mail.ru	;cod
103;Igor	;rty@mail.ru	;work
104;Lora	;rty@mail.ru	;kill
105;Igor	;qwerf@mail.ru	;work
106;Lex	;trtf@mail.ru	;test
107;Lora	;ewrt@mail.ru	;mod
108;Rex	;feweqf@mail.ru	;cod
109;Rex	;trtf@mail.ru	;sail
110;Lora	;feweqf@mail.ru	;work
111;Igor	;ewrt@mail.ru	;sail
112;Kate	;qwerf@mail.ru	;work
113;Lora	;feweqf@mail.ru	;kill
114;Max	;qwerf@mail.ru	;kill
115;Igor	;ewrt@mail.ru	;kill
116;Igor	;ewrt@mail.ru	;mod
117;Rex	;trtf@mail.ru	;kill
118;Igor	;fef@mail.ru	;work
